Timestamp,PM2.5 (ug/m3)
2025-10-17 21:00:00,4.5
2025-10-17 23:00:00,4.1
2025-10-18 01:00:00,4.1
2025-10-18 03:00:00,4.5
2025-10-18 05:00:00,4.3
2025-10-18 06:00:00,5.7
2025-10-18 07:00:00,7.7
2025-10-18 08:00:00,7.9
2025-10-18 09:00:00,6.1
2025-10-18 11:00:00,3.8
2025-10-18 12:00:00,4.2
2025-10-18 14:00:00,4.2
2025-10-18 15:00:00,4.1
2025-10-18 17:00:00,12.9
2025-10-18 18:00:00,6.5
2025-10-18 19:00:00,10.8
2025-10-18 20:00:00,10.9
2025-10-18 21:00:00,8.7
2025-10-18 22:00:00,10.1
2025-10-19 00:00:00,8.4
