Timestamp,PM2.5 µg/m³,O₃ µg/m³,NO₂ µg/m³,SO₂ µg/m³,CO µg/m³
2025-10-01 17:00:00,4.3,60,13.7,2.1,229,0.0
2025-10-01 19:00:00,4.2,11,98,6,2.4,114.5
2025-10-01 20:00:00,4,11,98,6,2.4,114.5
2025-10-01 21:00:00,3.5,98,6,2.4,114.5,0.0
2025-10-01 22:00:00,3.4,98,6,2.4,114.5,0.0
2025-10-01 23:00:00,3.3,11,98,6,2.4,114.5
2025-10-02 00:00:00,3.3,20,84,16.4,1.6,114.5
2025-10-02 01:00:00,3.3,18,64,24.6,1.4,114.5
2025-10-02 02:00:00,3.3,18,64,24.6,1.4,114.5
2025-10-02 03:00:00,3.2,18,64,24.6,1.4,114.5
2025-10-02 04:00:00,3.2,18,64,24.6,1.4,114.5
2025-10-02 05:00:00,2.8,0.0,0.0,0.0,0.0,0.0
2025-10-02 06:00:00,2.9,14,73,17.1,1.3,114.5
2025-10-02 07:00:00,3.1,14,73,17.1,1.3,114.5
2025-10-02 08:00:00,3.1,114.5,0.0,0.0,0.0,0.0
2025-10-02 09:00:00,3.4,11,60,18.1,1.2,114.5
2025-10-02 10:00:00,3.6,16,58,20.1,1.7,114.5
2025-10-02 11:00:00,4.1,16,58,20.1,1.7,114.5
2025-10-02 12:00:00,4.3,16,58,20.1,1.7,114.5
2025-10-02 13:00:00,4.5,16,58,20.1,1.7,114.5
2025-10-02 14:00:00,4.6,24,65,16.5,1.4,114.5
2025-10-02 15:00:00,4.7,20,84,16.5,1.2,114.5
2025-10-02 16:00:00,4.8,20,84,16.5,1.2,114.5
2025-10-02 17:00:00,4.6,15,94,0.9,1.6,0.0
2025-10-02 19:00:00,4.7,12,94,3.5,1.4,0.0
2025-10-02 20:00:00,4.5,14,94,5,1.7,57.3
2025-10-02 21:00:00,4.2,14,94,5,1.7,57.3
2025-10-02 22:00:00,4.2,14,94,5,1.7,57.3
2025-10-02 23:00:00,4.1,17,74,13.8,1.8,57.3
2025-10-03 00:00:00,4.6,21,60,20.9,1.8,57.3
2025-10-03 01:00:00,4.3,21,60,20.9,1.8,57.3
2025-10-03 02:00:00,3.8,21,60,20.9,1.8,57.3
2025-10-03 03:00:00,3.7,21,60,20.9,1.8,171.8
2025-10-03 04:00:00,3.8,21,60,20.9,1.8,171.8
2025-10-03 05:00:00,3.8,13,46,9.1,1.3,114.5
2025-10-03 06:00:00,3.4,13,46,9,1.3,114.5
2025-10-03 07:00:00,3.5,13,46,9,1.3,114.5
2025-10-03 08:00:00,3.4,13,56,9.4,1.4,114.5
2025-10-03 09:00:00,3.4,11,56,9.4,1.4,114.5
2025-10-03 10:00:00,3.1,11,56,9.4,1.4,114.5
2025-10-03 11:00:00,3.3,11,56,9.4,1.4,114.5
2025-10-03 12:00:00,3.7,14,59,15,1.1,114.5
2025-10-03 13:00:00,3.9,14,59,15,1.1,114.5
2025-10-03 14:00:00,4.3,13,66,6.4,1.6,114.5
2025-10-03 15:00:00,4.4,18,60,4,1.4,171.8
2025-10-03 16:00:00,4.3,18,60,4,1.4,171.8
2025-10-03 17:00:00,3.8,18,60,4,1.4,114.5
2025-10-03 19:00:00,3.3,16,64,5.5,1.7,0
2025-10-03 20:00:00,3.5,20,64,6.2,2,57.3
2025-10-03 21:00:00,3.5,20,64,6.2,2,57.3
2025-10-03 22:00:00,3.3,57.3,0.0,0.0,0.0,0.0
2025-10-03 23:00:00,2.3,23,44,16.2,3.1,114.5
2025-10-04 00:00:00,2,23,44,16.2,3.1,114.5
2025-10-04 01:00:00,2.1,23,48,12.6,1.7,114.5
2025-10-04 02:00:00,1.8,23,48,12.6,1.7,114.5
2025-10-04 03:00:00,1.7,21,48,12.6,1.7,114.5
2025-10-04 04:00:00,1.4,17,64,3.8,2.1,114.5
2025-10-04 05:00:00,1.3,17,64,3.8,2.1,57.3
